Language,Full/Limited,Basic/Extended/8way,system,Total time(sec),Elapsed time(sec),Total time,Elapsed time,Total Elapsed Time,Total GPU Time
102-assamese,Full,basic,PLP Ingestion,3243025,57186,900:50:25,15:53:06,,63:32:24
102-assamese,Full,basic,PLP Search,8943,285,2:29:03,0:04:45,,0:19:00
102-assamese,Full,basic,DNN Ingestion,467993,6823,129:59:53,1:53:43,,7:34:52
102-assamese,Full,basic,DNN Ingestion GPU,2844772,23508,790:12:52,6:31:48,8:25:31,26:07:12
102-assamese,Full,basic,DNN Search,5306,187,1:28:26,0:03:07,,0:12:28
102-assamese,Full,basic,BNF Ingestion,4557676,40836,1266:01:16,11:20:36,,45:22:24
102-assamese,Full,basic,BNF Ingestion GPU,2745088,60397,762:31:28,16:46:37,28:07:13,67:06:28
102-assamese,Full,basic,BNF Search,11509,277,3:11:49,0:04:37,,0:18:28
102-assamese,Full,basic,DNN_MPE Ingestion,2116099,28559,587:48:19,7:55:59,,31:43:56
102-assamese,Full,basic,DNN_MPE Ingestion GPU,3747822,31538,1041:03:42,8:45:38,16:41:37,35:02:32
102-assamese,Full,basic,DNN_MPE Search,31337,861,8:42:17,0:14:21,,0:57:24
102-assamese,Full,basic,4way comb Ingestion,9548151,118050,2652:15:51,32:47:30,,131:10:00
102-assamese,Full,basic,4way comb Ingestion GPU,6492910,91935,1803:35:10,25:32:15,58:19:45,102:09:00
102-assamese,Full,basic,4way comb Search,55481,1442,15:24:41,0:24:02,,1:36:08
102-assamese,Full,extended,PLP Ingestion,3307899,59336,918:51:39,16:28:56,,65:55:44
102-assamese,Full,extended,PLP Search,9184,277,2:33:04,0:04:37,,0:18:28
102-assamese,Full,extended,DNN Ingestion,545569,9283,151:32:49,2:34:43,,10:18:52
102-assamese,Full,extended,DNN Ingestion GPU,2844772,23508,790:12:52,6:31:48,9:06:31,26:07:12
102-assamese,Full,extended,DNN Search,5743,187,1:35:43,0:03:07,,0:12:28
102-assamese,Full,extended,BNF Ingestion,4773577,43878,1325:59:37,12:11:18,,48:45:12
102-assamese,Full,extended,BNF Ingestion GPU,2745088,60397,762:31:28,16:46:37,28:57:55,67:06:28
102-assamese,Full,extended,BNF Search,11985,304,3:19:45,0:05:04,,0:20:16
102-assamese,Full,extended,DNN_MPE Ingestion,2367529,33809,657:38:49,9:23:29,,37:33:56
102-assamese,Full,extended,DNN_MPE Ingestion GPU,903050,8030,250:50:50,2:13:50,11:37:19,8:55:20
102-assamese,Full,extended,DNN_MPE Search,34106,905,9:28:26,0:15:05,,1:00:20
102-assamese,Full,extended,4way comb Ingestion,9789219,122512,2719:13:39,34:01:52,,136:07:28
102-assamese,Full,extended,4way comb Ingestion GPU,6492910,91935,1803:35:10,25:32:15,59:34:07,102:09:00
102-assamese,Full,extended,4way comb Search,59623,1511,16:33:43,0:25:11,,1:40:44
102-assamese,Full,8way,8way comb Ingestion,18683458,235509,5189:50:58,65:25:09,,261:40:36
102-assamese,Full,8way,8way comb Ingestion GPU,6492910,91935,1803:35:10,25:32:15,90:57:24,102:09:00
102-assamese,Full,8way,8way comb Search,115104,2953,31:58:24,0:49:13,,3:16:52
103-bengali,Full,basic,PLP Ingestion,2644449,56178,734:34:09,15:36:18,,62:25:12
103-bengali,Full,basic,PLP Search,10506,449,2:55:06,0:07:29,,0:29:56
103-bengali,Full,basic,DNN Ingestion,571163,8567,158:39:23,2:22:47,,9:31:08
103-bengali,Full,basic,DNN Ingestion GPU,2887670,23770,802:07:50,6:36:10,8:58:57,26:24:40
103-bengali,Full,basic,DNN Search,7335,349,2:02:15,0:05:49,,0:23:16
103-bengali,Full,basic,BNF Ingestion,4684807,43246,1301:20:07,12:00:46,,48:03:04
103-bengali,Full,basic,BNF Ingestion GPU,2568367,58686,713:26:07,16:18:06,28:18:52,65:12:24
103-bengali,Full,basic,BNF Search,12241,421,3:24:01,0:07:01,,0:28:04
103-bengali,Full,basic,DNN_MPE Ingestion,2642657,34339,734:04:17,9:32:19,,38:09:16
103-bengali,Full,basic,DNN_MPE Ingestion GPU,3998498,33660,1110:41:38,9:21:00,18:53:19,37:24:00
103-bengali,Full,basic,DNN_MPE Search,41916,1156,11:38:36,0:19:16,,1:17:04
103-bengali,Full,basic,4way comb Ingestion,9615593,123702,2670:59:53,34:21:42,,137:26:48
103-bengali,Full,basic,4way comb Ingestion GPU,6566865,92346,1824:07:45,25:39:06,60:00:48,102:36:24
103-bengali,Full,basic,4way comb Search,70012,1895,19:26:52,0:31:35,,2:06:20
103-bengali,Full,extended,PLP Ingestion,2719089,59999,11:18:09,16:39:59,,66:39:56
103-bengali,Full,extended,PLP Search,10748,336,2:59:08,0:05:36,,0:22:24
103-bengali,Full,extended,DNN Ingestion,658013,12640,14:46:53,3:30:40,,14:02:40
103-bengali,Full,extended,DNN Ingestion GPU,2887670,23770,802:07:50,6:36:10,10:06:50,26:24:40
103-bengali,Full,extended,DNN Search,7788,242,2:09:48,0:04:02,,0:16:08
103-bengali,Full,extended,BNF Ingestion,4924198,47913,23:49:58,13:18:33,,53:14:12
103-bengali,Full,extended,BNF Ingestion GPU,2568367,58686,713:26:07,16:18:06,29:36:39,65:12:24
103-bengali,Full,extended,BNF Search,13142,373,3:39:02,0:06:13,,0:24:52
